database/data/terraintextures/dirt.dds
69,58
70,58
71,58
71,57
71,56
71,55
72,55
72,54
72,53
72,52
72,51
72,50
72,49
72,48
72,47
72,46
72,45
72,44
72,43
72,42
72,41
72,40
72,39
72,38
71,38
71,37
70,37
70,36
70,35
69,34
70,34
68,33
67,33
66,33
65,33
68,34
64,33
63,34
62,34
62,35
64,34
61,35
61,36
61,37
60,38
60,39
60,40
60,41
60,42
60,43
60,37
60,44
59,44
58,44
58,45
57,45
57,46
57,47
57,48
57,49
57,50
57,51
57,52
57,53
57,54
58,54
58,55
59,55
59,56
59,57
60,57
61,57
62,57
62,58
63,58
65,58
66,58
67,58
68,58
64,58
