database/data/terraintextures/water.dds
67,40
67,39
68,39
69,39
69,40
69,41
68,41
68,40
69,43
69,42
70,40
70,41
70,42
70,43
71,43
71,44
70,44
70,45
71,42
71,41
70,39
70,38
69,38
69,37
68,37
67,37
67,36
68,36
69,36
66,36
66,35
67,35
68,35
65,36
65,37
66,37
66,38
67,38
68,38
65,39
64,39
64,38
65,38
63,39
63,40
62,40
62,39
66,39
67,41
67,42
66,42
66,41
65,41
65,40
64,40
63,41
62,41
64,41
66,40
62,42
62,43
62,44
62,45
62,46
62,47
61,43
61,44
61,45
60,46
60,45
59,46
58,46
59,45
58,47
59,47
60,47
61,47
63,47
63,46
61,46
63,45
64,45
64,44
65,44
63,44
63,43
64,43
64,42
65,42
63,42
65,43
66,43
66,44
67,44
67,43
68,43
68,42
68,44
69,44
71,45
71,46
71,47
70,47
70,48
69,47
69,46
68,46
68,45
69,45
70,46
67,45
66,45
66,46
67,46
65,45
65,46
64,46
64,47
65,47
66,47
67,48
68,48
68,47
67,47
65,48
66,48
70,57
69,57
70,56
70,55
70,54
69,53
69,52
70,52
70,51
70,53
70,50
70,49
71,48
71,49
71,50
71,51
69,51
69,50
69,49
69,48
68,49
68,50
68,51
68,52
68,53
68,54
69,54
69,55
69,56
68,57
68,56
67,57
67,56
67,55
67,53
67,54
66,57
68,55
65,57
66,56
66,55
64,57
64,56
65,56
65,55
66,54
65,54
65,52
66,52
66,51
66,53
67,50
65,53
64,54
67,49
67,51
67,52
64,53
66,50
66,49
65,49
65,50
64,51
64,52
63,53
63,54
64,55
65,51
64,49
64,50
64,48
63,49
63,48
63,50
63,51
63,55
63,56
63,52
62,55
62,56
61,56
60,56
60,55
59,54
58,53
58,52
58,51
58,50
58,49
58,48
59,48
60,48
60,49
60,50
60,51
59,51
59,50
59,52
59,53
60,54
61,55
61,54
60,53
60,52
61,50
61,51
61,52
61,53
62,53
62,54
61,49
62,48
62,49
62,50
62,51
62,52
61,48
59,49
63,38
62,38
61,38
61,39
61,40
61,41
61,42
64,37
64,36
65,35
63,37
62,37
62,36
63,36
63,35
64,35
63,57
58,54
69,35
67,34
66,34
65,34
71,40
71,39
71,52
71,53
71,54
